,hr,designer,information-technology,teacher,advocate,business-development,healthcare,fitness,agriculture,bpo,sales,consultant,digital-media,automobile,chef,finance,apparel,engineering,accountant,construction,public-relations,banking,arts,aviation
adult,1,14,1,9,1,2,5,4,33,0,2,6,0,0,4,8,2,0,2,8,8,7,8,4
fema,0,0,1,0,6,1,0,0,7,0,0,1,0,0,0,0,0,0,0,3,5,0,2,2
graduate,17,13,23,12,10,8,14,24,31,2,6,13,7,3,7,11,5,23,18,8,30,27,13,39
pulaski,0,0,0,0,0,0,0,2,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
conservation,0,4,0,1,0,0,0,0,28,0,0,0,1,0,3,0,0,2,0,10,1,0,0,0
security,21,22,424,22,53,27,55,19,55,15,54,100,26,17,12,18,37,54,15,43,30,44,45,180
software,56,130,511,28,64,106,65,18,44,25,46,191,126,38,21,124,55,384,202,51,68,144,79,94
safety,100,44,31,44,66,35,80,110,66,4,81,39,16,19,243,14,29,141,18,403,33,15,57,311
federal,64,7,27,8,28,41,46,14,32,0,8,32,2,8,24,43,12,10,59,29,26,51,15,52
accounts,66,20,52,47,129,225,80,67,93,12,115,100,66,43,20,387,79,18,791,45,70,173,40,38
education,148,152,171,455,248,152,204,209,181,24,143,160,126,55,147,145,117,131,143,137,178,156,325,159
plant,24,21,6,2,2,3,3,1,35,0,2,15,3,2,2,22,12,69,10,48,2,1,4,49
costumer,0,0,2,1,1,3,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
communications,40,30,66,13,29,35,29,29,24,4,47,105,108,3,17,30,38,40,17,37,447,27,42,31
financial,72,20,76,23,139,151,130,82,85,34,31,204,39,30,60,1100,45,38,1116,52,90,607,40,82
research,81,83,70,43,102,91,117,78,167,12,31,108,105,26,28,71,59,79,92,26,224,109,61,67
logistics,18,12,20,5,13,34,24,13,14,0,14,25,30,2,22,35,25,25,12,23,50,9,32,129
telephone,46,10,46,12,57,29,48,36,18,2,79,29,25,21,12,24,28,13,19,18,19,23,28,16
detective,0,0,0,0,0,0,0,4,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
projects,84,180,140,68,56,89,78,35,67,28,48,139,105,27,16,115,66,243,101,481,122,89,66,66
extension,1,2,2,4,0,0,3,0,52,2,0,5,2,0,0,1,3,3,2,5,0,2,1,0
water,1,15,7,7,3,4,3,10,61,1,18,6,5,0,12,4,11,33,0,63,5,0,3,22
budget,78,77,117,24,44,113,51,57,58,17,33,82,106,9,102,298,41,80,224,165,114,100,53,81
postdoctoral,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,19,0,0,0
gis,0,9,7,2,0,1,0,4,21,2,0,8,0,0,1,0,3,28,0,5,0,0,0,0
front,14,14,14,9,3,6,21,26,17,1,17,28,5,2,48,8,18,8,5,13,13,16,17,15
president,16,8,26,17,22,33,16,24,19,6,11,25,25,4,3,19,17,15,14,26,67,55,18,9
natural,0,4,7,3,2,2,1,6,46,0,14,5,5,0,8,0,1,16,9,17,9,1,3,14
batch,6,0,7,0,4,0,1,1,19,1,0,9,1,1,3,0,2,4,2,3,1,7,0,3
committee,26,9,33,28,27,22,21,18,24,3,5,5,11,5,9,45,5,5,4,5,31,31,42,2
jamaica,3,0,0,0,0,0,0,1,37,0,0,0,0,1,0,2,0,0,2,0,2,0,0,0
bpo,1,0,0,0,0,0,0,0,0,31,0,1,0,1,0,2,0,0,0,0,0,0,0,0
realtor,0,3,0,0,0,2,1,0,0,8,2,0,0,0,0,2,0,0,0,0,2,0,1,0
transaction,7,1,4,4,6,4,1,1,5,6,4,6,0,1,1,13,5,4,17,0,2,26,0,4
division,16,11,19,5,7,21,25,11,15,10,6,13,13,5,5,46,7,9,21,13,23,26,17,38
noc,0,1,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0
test,4,20,104,27,29,6,27,10,12,42,14,98,13,13,19,3,5,313,17,16,3,84,20,164
buyer,0,0,0,0,1,7,2,1,1,5,11,4,4,1,0,2,35,2,3,2,1,4,1,2
risk,11,13,57,8,35,45,31,26,30,27,5,43,8,10,7,63,19,21,27,30,4,141,14,24
pmcpsm,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
z,0,6,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,2,1,0,2,4,0,2
d2b,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
merchandiser,0,5,0,0,1,0,0,1,0,0,7,0,0,0,0,0,10,0,1,0,0,0,0,0
outbound,6,2,3,2,13,31,12,9,1,7,17,10,1,4,3,2,5,1,2,1,2,12,3,10
js,0,0,1,0,0,0,0,0,2,0,2,2,1,0,0,0,0,5,0,0,0,0,0,0
gm,2,2,0,0,0,1,0,2,0,0,2,1,0,0,6,3,3,0,1,0,2,0,0,0
camryn,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
timeshare,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
qualifications,18,26,32,20,20,20,26,25,14,2,18,25,13,4,10,10,17,22,14,17,21,16,16,40
managing,73,28,97,36,60,74,83,48,21,34,51,105,72,15,64,79,57,67,83,73,84,103,37,70
leasing,3,2,5,0,6,5,1,0,2,0,5,37,4,0,0,4,4,0,4,10,0,7,5,2
construction,17,107,11,15,3,15,15,9,5,0,36,27,5,3,9,13,24,63,33,1810,12,7,12,20
color,0,46,3,3,9,5,2,2,0,0,13,9,18,0,15,1,90,1,1,5,8,0,6,11
principal,2,10,4,10,1,4,4,3,6,1,3,22,0,3,2,6,1,6,5,1,4,7,23,5
fragrance,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
ownerprinciple,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
wms,0,0,5,0,0,0,0,0,1,0,2,6,0,0,0,0,0,1,1,0,0,0,0,1
process,310,88,194,39,112,121,154,72,77,98,72,254,104,46,34,287,152,390,214,132,61,201,70,124
pavithra,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
media,35,47,24,27,15,84,30,42,29,7,24,126,649,5,16,21,72,58,10,10,828,27,61,18
monitor,19,11,31,14,34,14,22,25,18,11,19,23,28,13,39,37,21,20,42,24,21,44,16,26
sprint,2,4,11,0,1,1,1,0,0,2,3,5,5,0,1,2,1,1,2,2,0,1,1,0
programmatic,2,0,0,0,1,0,0,0,0,0,0,5,20,0,0,0,0,1,0,0,3,0,1,3
implementation,46,49,168,23,34,52,94,40,35,21,23,129,57,22,19,92,24,72,41,55,56,72,35,50
ownerpresident,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
public,39,30,36,45,67,82,70,38,90,3,32,79,83,13,30,72,37,11,47,41,1003,43,77,32
editorial,0,5,0,0,1,2,0,0,0,0,2,7,24,0,1,0,9,0,0,0,25,0,2,0
25live,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0
videographer,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,1,0,0,0,0,0,5,0
jr,0,0,0,2,4,0,0,0,0,0,0,1,7,0,1,0,2,4,0,0,0,1,2,0
coceo,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
vicepresident,0,1,4,0,1,1,0,1,2,0,0,0,7,1,0,0,2,0,0,0,5,0,0,1
contract,30,14,43,5,11,68,58,17,32,16,24,24,26,19,11,54,14,23,42,129,17,13,6,28
exec,0,0,13,0,0,0,0,0,0,0,0,7,4,0,1,1,0,0,0,0,0,0,0,0
paid,6,1,0,3,6,3,5,4,5,0,2,3,31,3,3,11,3,0,14,4,5,5,1,2
automobile,2,0,0,0,0,1,0,0,2,0,12,1,0,34,1,5,1,0,0,0,1,2,0,2
datastage,0,0,0,0,0,0,0,0,0,0,0,3,0,36,0,0,0,0,0,0,0,0,0,0
policy,87,1,54,12,42,27,28,9,28,9,25,38,5,16,7,37,14,4,38,8,37,45,23,35
deputy,3,1,4,1,4,1,0,1,4,0,0,3,0,5,0,2,1,0,1,5,4,1,0,2
contact,50,20,47,12,38,37,33,11,14,10,19,28,21,15,10,26,16,20,21,21,44,35,21,39
proposal,5,19,13,6,1,32,3,5,7,1,12,11,11,14,8,17,4,8,12,24,20,6,1,8
legal,65,14,25,12,77,28,34,15,17,10,12,29,10,32,13,39,34,8,28,25,45,45,18,17
comanager,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
accountant,2,0,1,3,1,5,0,1,3,0,0,14,0,12,2,90,6,2,810,8,2,10,0,0
tax,35,3,13,4,32,19,6,10,24,8,1,74,7,23,24,192,12,3,431,10,10,114,3,3
organization,125,32,82,28,41,60,56,52,36,24,43,70,41,37,33,103,35,53,59,50,82,53,48,48
data,188,112,542,51,172,121,270,72,162,36,93,284,149,141,41,179,109,203,163,75,94,191,103,179
agency,39,13,35,5,56,41,47,9,26,1,5,23,65,15,10,16,23,6,15,24,73,15,5,15
student,34,57,61,380,65,15,39,71,84,1,22,12,25,13,24,50,40,30,28,19,57,40,261,19
adjuster,0,0,0,1,3,0,1,0,0,0,0,2,0,15,1,1,1,0,0,0,0,1,0,0
secretary,7,2,7,3,14,6,5,3,5,1,4,4,0,4,4,12,8,6,10,6,10,0,9,2
highlights,65,55,41,37,42,61,57,41,21,8,52,42,42,14,64,68,43,39,67,46,58,51,48,49
centralized,1,0,2,0,2,2,0,0,1,0,0,2,1,6,0,7,2,2,0,0,0,1,0,3
services,97,53,167,45,253,190,282,99,75,31,129,222,147,78,63,108,69,118,82,75,70,199,78,69
chef,4,0,2,0,0,1,0,0,0,2,2,3,1,1,751,0,0,0,1,0,3,0,4,0
rm,0,0,0,0,0,0,19,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
main,8,8,20,4,1,14,4,10,2,3,7,9,8,4,16,6,4,13,11,18,13,8,7,7
banquet,0,1,1,1,0,1,0,0,0,0,0,1,0,0,84,1,0,1,0,0,2,2,3,0
pampered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0
bistro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
operational,23,8,58,7,24,40,47,33,8,22,26,41,15,14,34,56,21,44,39,26,19,78,16,67
coownerexecutive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
sous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,4,0
managerpizza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
sushi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,1,0,0,0
room,3,12,12,9,14,7,26,25,4,1,15,3,12,2,71,6,14,12,9,4,10,6,15,21
line,29,48,17,13,12,30,23,19,6,11,25,37,15,10,136,35,43,64,21,43,23,31,18,52
coownermanager,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,1,0,0,0
pastry,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,0,0,0,0,0,0,0,0,0
dfw,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
exécutive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
food,35,25,11,46,44,31,39,34,42,2,113,36,5,4,1377,13,8,13,14,7,87,13,107,15
premium,2,2,0,3,1,8,2,2,3,2,0,3,8,2,8,8,3,0,3,0,2,1,0,2
kitchen,6,7,2,0,10,6,11,2,1,0,18,2,0,0,575,0,0,6,1,10,13,2,10,3
la,1,3,2,6,3,3,4,5,0,0,2,0,15,0,21,1,4,0,2,39,13,0,6,4
lecturer,0,0,0,0,0,0,3,2,3,0,0,1,0,0,4,0,0,3,1,0,0,0,0,0
event,29,35,11,12,21,40,23,36,19,6,17,28,51,5,62,7,26,15,5,4,211,16,38,5
ashanique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
bartender,0,1,0,0,0,2,1,4,0,0,2,0,1,0,7,0,0,2,0,2,52,0,0,0
tutor,0,4,4,25,7,0,4,3,4,0,0,0,3,1,5,1,0,7,3,0,1,0,7,2
table,0,10,11,3,0,5,1,4,4,1,4,4,4,0,23,4,7,4,7,1,4,13,2,4
material,12,53,20,32,17,27,13,12,30,4,10,25,9,6,17,21,31,77,22,100,32,4,28,121
category,1,3,1,2,0,8,2,0,0,0,2,6,12,0,33,2,30,0,0,0,3,5,2,2
housekeeper,0,0,0,1,0,0,0,0,0,0,8,0,0,0,16,0,0,0,0,0,0,0,1,0
ownerchef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
avp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0
contracts,34,16,55,14,30,76,41,28,8,10,54,57,29,18,15,86,31,24,95,77,32,25,29,21
phd,0,2,3,4,0,2,2,1,10,0,1,7,0,0,0,10,0,6,0,2,3,0,4,2
programme,4,0,1,0,0,0,0,0,8,0,0,0,0,0,0,22,0,0,0,0,3,2,0,0
dealership,1,0,4,0,0,13,0,0,0,0,12,0,0,1,0,33,0,0,0,0,2,0,0,0
special,67,27,16,126,64,28,44,48,37,6,44,27,47,25,133,51,86,23,43,39,136,31,81,51
trade,5,19,4,10,4,43,5,1,32,0,15,15,22,0,15,34,20,6,16,15,43,20,7,6
acting,4,5,2,0,2,1,6,4,6,0,1,2,3,2,4,11,2,2,3,4,2,4,19,3
specialist,71,31,133,35,69,37,88,66,38,9,24,44,60,37,28,35,28,21,41,24,61,71,54,91
stylist,0,8,0,2,1,0,0,0,0,0,2,0,3,0,0,0,22,0,0,0,0,0,1,0
brand,17,65,3,3,20,89,19,12,0,1,29,49,109,4,20,11,105,3,3,8,133,16,12,2
compliance,157,38,73,19,57,53,115,33,32,10,35,90,17,22,53,126,62,50,150,126,19,144,25,95
manufacturing,30,41,35,0,4,18,13,18,11,1,7,66,16,7,3,44,38,306,19,18,4,7,7,45
bookseller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0
coordinator,85,24,20,33,37,34,59,57,17,4,20,22,42,11,10,13,41,14,8,48,91,30,57,20
passenger,1,0,0,2,4,0,0,2,0,0,1,0,1,1,1,4,5,0,0,1,0,1,0,23
pr,3,9,3,2,1,7,1,2,0,0,1,13,18,0,2,3,25,2,1,0,151,8,5,0
gc,0,0,3,0,0,1,0,1,6,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
softlines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
franchise,0,0,2,3,2,8,0,3,2,0,4,1,3,1,3,6,4,0,5,1,2,5,0,0
jobs,13,9,6,2,8,2,2,2,2,0,11,12,6,8,6,2,16,8,7,26,4,7,2,10
buyerplanner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
rachel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
colour,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
design,45,926,229,72,24,81,59,54,44,11,41,185,141,40,43,31,252,402,26,245,116,53,107,98
shippervault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
grocery,0,0,2,1,0,0,2,1,0,0,7,0,1,0,2,1,7,0,0,0,0,1,1,0
2nd,5,2,1,11,3,3,6,2,3,2,3,0,0,1,7,2,8,6,2,1,1,6,5,9
reservations,2,4,1,0,6,0,2,8,1,0,7,1,8,1,10,1,6,0,0,0,6,2,3,5
shoe,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,9,0,0,2,1,0,1,1
inventory,50,34,79,31,79,78,50,78,29,15,175,73,58,18,269,157,216,87,179,112,64,42,61,209
route,0,1,2,0,2,3,6,2,1,2,3,6,4,2,2,1,8,8,1,6,0,0,3,19
embroidery,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
mens,0,2,0,1,0,4,0,4,0,0,1,0,0,0,1,0,38,1,0,2,5,8,0,1
ownerattorney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
cofounder,0,0,1,0,2,2,0,3,0,0,1,2,1,0,0,0,4,6,0,0,0,2,0,1
coordinating,34,8,15,12,12,11,23,9,2,4,7,5,7,6,6,15,25,12,13,26,38,12,19,20
cfo,2,1,4,1,0,1,1,1,1,0,0,5,2,0,1,30,6,0,16,2,1,2,1,2
document,16,19,64,13,24,8,32,6,15,7,5,41,10,10,6,17,22,41,23,23,5,35,11,21
keyholder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
beauty,0,7,0,2,5,0,1,0,0,0,3,1,4,0,0,0,13,0,1,0,8,0,1,0
internal,82,31,62,18,45,61,69,30,26,16,13,98,90,20,9,159,55,41,124,28,116,87,29,44
sourcing,34,13,5,0,1,8,13,9,1,3,0,13,3,1,7,6,41,4,5,10,0,8,0,7
ceo,10,2,4,2,5,10,3,8,1,3,1,17,17,2,3,6,8,2,5,2,19,3,2,0
light,2,5,3,5,2,0,6,1,3,1,4,1,3,4,5,5,9,11,1,17,7,1,0,7
enrolled,2,0,3,2,1,0,7,5,2,0,3,2,0,0,2,2,10,6,1,0,1,2,6,4
selfsustaining,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0
biomedical,0,0,0,0,16,1,1,1,3,0,1,0,0,0,0,0,0,22,0,0,4,0,0,0
qa,1,6,60,1,2,0,12,1,2,4,0,13,9,4,0,4,5,115,0,16,0,25,5,7
facilities,14,17,20,7,22,9,47,40,18,4,15,19,8,1,53,11,17,60,10,108,12,13,17,36
multiskilled,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1
thermal,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,2,0,0,0,2
industrial,10,22,8,8,3,9,8,3,5,0,8,10,8,5,6,2,18,99,1,40,2,5,4,15
737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6
chemical,1,6,7,1,3,11,7,4,9,0,2,5,0,2,3,0,3,51,1,9,0,0,0,15
mineralogy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
maintenance,73,43,122,24,54,26,61,61,26,18,43,86,19,33,54,53,63,264,55,124,20,46,46,408
systems,129,80,734,19,116,94,181,59,80,19,81,264,104,50,41,119,69,431,129,138,62,107,73,341
billing,33,7,31,17,91,23,140,33,6,9,37,35,22,14,16,79,26,19,183,14,69,20,36,6
payroll,297,14,9,22,44,23,39,63,11,1,18,59,12,7,39,201,85,8,368,17,36,41,23,7
investment,3,13,5,0,9,20,13,6,9,1,1,28,10,4,7,54,4,2,40,2,19,97,4,1
concrete,1,4,0,0,1,1,0,1,0,0,0,1,1,0,1,3,0,10,0,169,0,0,0,0
work,178,203,204,184,228,112,219,165,126,49,208,187,119,62,271,174,200,318,196,455,187,202,180,269
horizontal,2,4,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,6,1,6,1,0,0,4
cs,0,5,0,0,0,9,3,0,0,0,0,3,2,0,0,1,3,0,0,2,0,0,6,0
ap,5,4,4,3,0,2,3,5,13,7,0,10,6,0,0,39,11,7,90,6,6,1,4,6
shore,0,1,0,1,1,1,1,0,1,0,0,9,2,0,0,0,2,6,0,4,0,0,0,1
commercial,7,39,11,2,28,39,16,9,13,8,26,27,27,13,13,28,6,33,28,101,8,117,10,40
laboer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
loan,12,12,6,3,20,45,4,9,16,19,8,15,12,2,2,54,17,0,25,67,2,215,1,1
ownerproject,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
carpenter,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,36,0,0,0,1
superintendant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
drivermanager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
car,2,5,7,0,2,8,0,0,4,0,9,0,8,2,1,20,4,4,2,6,1,2,2,2
cadgis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
license,5,14,7,12,8,10,15,12,2,4,9,17,7,8,4,17,9,12,18,19,6,18,8,22
garden,0,1,0,7,0,0,0,2,1,0,1,2,0,0,8,0,2,1,1,5,1,0,0,0
area,32,27,59,54,36,45,36,34,35,5,65,33,19,10,44,24,41,47,16,47,63,40,42,26
laborer,0,0,0,0,0,0,0,4,1,0,1,0,0,0,2,0,1,2,0,27,0,0,1,7
hydroblasting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
utility,4,3,5,1,9,1,2,2,5,0,3,12,0,2,3,1,1,11,2,34,2,5,2,4
events,87,47,29,51,56,58,38,88,24,7,70,46,110,20,196,32,60,16,17,19,435,62,109,29
ward,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
insurance,75,10,28,35,131,49,127,33,14,17,25,66,16,56,12,71,32,9,81,25,29,83,29,9
p,2,2,1,0,4,2,4,1,4,3,1,14,0,0,10,1,2,4,9,3,4,0,1,3
founderstrategic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
city,565,728,613,639,831,716,743,713,400,116,713,666,601,252,760,689,728,641,677,723,682,626,629,604
applecare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
ownerconsultant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
writer,5,6,4,2,0,5,2,2,2,0,3,9,19,2,0,1,3,9,0,2,49,2,1,2
development,338,237,342,184,173,760,257,161,196,47,85,345,249,80,214,149,242,330,102,209,304,275,214,156
retail,26,42,33,12,26,74,38,34,11,7,102,33,33,10,45,47,108,17,29,31,48,97,38,17
hostess,3,1,0,2,2,0,1,3,0,0,3,0,0,0,2,0,3,0,0,0,9,2,1,0
transfer,7,3,8,1,10,4,11,9,3,2,4,8,2,5,5,16,1,30,14,14,13,7,6,15
property,12,14,15,6,13,13,7,9,13,9,11,28,9,23,20,27,5,14,57,51,15,20,5,19
editor,2,7,3,1,5,1,2,1,3,0,0,6,28,0,0,0,2,1,0,0,32,8,4,3
fast,26,11,13,10,19,17,17,16,2,5,30,16,8,5,33,7,22,7,12,9,24,33,14,21
content,14,55,30,31,8,59,26,16,22,0,16,71,262,8,2,5,24,30,3,10,195,18,31,14
unit,30,25,23,15,55,17,44,20,39,5,11,31,8,20,11,42,10,47,16,29,15,19,18,60
banking,19,5,6,3,15,29,16,11,9,7,4,20,3,11,2,35,12,6,65,7,4,453,7,0
mortgage,2,5,1,0,19,35,3,2,0,21,3,6,3,0,0,8,8,2,11,2,1,238,0,0
svp,0,0,1,0,6,0,4,0,0,1,1,0,3,0,0,3,1,0,0,1,4,16,0,0
karla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
teller,3,1,0,3,3,17,3,1,1,0,7,0,0,2,0,6,10,4,4,0,0,72,2,2
relationship,10,14,27,10,45,93,32,27,9,18,33,35,37,3,18,23,13,9,15,20,33,104,16,16
placement,25,10,1,7,13,18,5,5,3,1,10,6,5,1,5,3,16,9,1,21,19,13,12,4
internship,25,2,3,4,8,3,5,9,4,0,1,2,8,2,5,4,4,3,3,2,8,12,10,2
teradata,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,30,0,0
park,0,10,3,5,11,5,1,16,10,0,3,7,5,0,7,3,1,3,4,22,5,13,9,5
soho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,4,0,0
career,50,24,32,18,32,33,34,38,24,6,26,32,24,16,36,23,18,28,17,24,37,29,37,39
employee,795,17,44,24,84,71,85,71,22,17,37,83,34,16,82,82,49,31,73,43,83,74,65,60
purchasing,24,17,26,20,9,17,21,13,5,5,32,24,6,9,116,37,31,32,37,51,8,12,17,44
bank,31,20,4,7,25,31,15,8,10,5,22,22,6,21,17,173,18,14,297,12,17,232,12,11
grants,0,3,6,5,1,0,5,1,9,0,0,1,1,0,0,24,2,0,47,2,4,13,10,4
inside,2,4,2,1,4,19,1,5,1,6,17,8,3,0,2,2,5,3,0,8,5,11,11,4
revolving,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,1
arts,40,103,30,140,36,57,33,46,18,10,24,33,52,18,173,33,49,8,34,23,73,25,458,18
culinary,0,1,0,0,2,3,0,0,0,0,7,0,0,1,350,0,0,0,0,0,4,0,23,2
expressive,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0
language,4,13,18,66,13,6,10,6,28,1,11,23,14,6,6,6,4,8,10,8,12,10,109,4
visual,5,71,50,11,5,2,11,6,3,2,16,39,16,1,5,1,55,58,8,12,22,13,51,19
michaels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2
talented,2,5,3,6,7,3,5,4,2,0,4,3,2,1,8,2,3,0,4,2,6,5,18,1
8th,0,0,0,11,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,15,3
6,15,9,19,2,19,24,27,14,11,6,15,13,29,5,31,25,13,39,24,23,12,35,20,31
sixth,0,0,0,3,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,18,0
ep,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
theater,0,1,1,5,0,0,2,0,0,2,3,3,4,0,3,2,0,0,0,3,2,0,74,1
intervention,1,0,0,10,38,2,12,5,5,0,0,6,0,1,2,0,0,2,1,0,0,2,27,2
rda,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,1
landscape,0,11,1,0,2,6,4,0,2,0,0,2,3,2,0,0,4,1,0,7,0,0,2,0
full,45,9,23,23,10,27,28,22,12,3,21,17,9,4,15,31,13,33,50,25,22,15,17,14
eighth,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0
activity,24,1,27,10,18,20,24,22,11,7,10,11,10,13,7,35,6,6,43,6,19,30,15,20
45,8,4,7,3,7,5,7,5,1,5,4,5,6,3,4,6,4,6,6,5,1,6,6,6
video,5,24,50,4,10,8,14,11,5,3,4,25,122,3,4,2,4,76,6,2,51,15,32,13
middle,4,6,7,33,4,5,3,8,7,0,2,5,3,1,2,4,3,5,3,0,8,8,76,3
k12,0,1,0,10,1,0,5,1,0,0,1,1,0,0,3,0,0,2,0,0,1,0,23,0
packaging,4,43,6,5,0,12,0,2,4,0,5,23,17,0,7,3,12,14,1,4,10,3,25,11
co,3,1,0,2,1,5,1,4,5,0,1,7,2,2,5,16,8,1,6,8,1,6,7,0
sale,2,11,8,2,14,21,2,11,2,0,43,12,8,1,9,18,21,2,9,10,9,25,26,4
tutoring,0,5,12,18,7,0,4,0,4,0,0,6,1,1,0,0,0,3,0,0,3,0,18,0
